customer_id,nama,gender,pendidikan,umur,alamat,nomor_telepon,status_pernikahan,pendapatan
CUS_064794,"Perkasa Namaga, M.Pd",pria,Magister,44,"Jalan Bangka Raya No. 910
Bandung, Sumatera Selatan 41512",+62850-4732-6791,Single,84500000
CUS_065573,Banawi Mandasari,wanita,SD,18,"Gang Sadang Serang No. 066
Kendari, Sulawesi Barat 38815",+62835-0548-1440,Single,62000000
CUS_067693,Cut Humaira Setiawan,wanita,SMA/SMK/MA,40,"Gang Rungkut Industri No. 0
Kediri, Sumatera Selatan 83439",+62815-1504-7987,Single,76500000
CUS_068317,Tirtayasa Lailasari,pria,SD,59,"Jalan Kutisari Selatan No. 15
Tanjungbalai, AC 29723",+62869-7916-5476,Sudah menikah,89000000
CUS_069193,dr. Oliva Budiman,pria,Doktor,36,"Gg. Soekarno Hatta No. 1
Binjai, BE 27631",+62888-4031-7149,Sudah menikah,90500000
CUS_070114,Lulut Waluyo,wanita,SMP,33,"Gg. Ahmad Yani No. 426
Gorontalo, Kepulauan Riau 54991",+62820-9036-5915,Single,40500000
CUS_071001,Anita Simbolon,wanita,SD,41,"Jalan Joyoboyo No. 3
Ternate, Papua 81965",+62887-8180-4403,Sudah menikah,62500000
CUS_072320,Martana Aryani,wanita,SD,37,"Gg. Jend. A. Yani No. 03
Cirebon, SB 73078",+62843-3989-3151,Sudah menikah,18500000
CUS_072557,Najwa Siregar,wanita,Sarjana,42,"Gang Otto Iskandardinata No. 189
Tangerang, KS 02021",+62810-5255-5013,Sudah menikah,51000000
CUS_074158,Tgk. Yessi Hardiansyah,pria,SMA/SMK/MA,22,"Jl. Gardujati No. 204
Yogyakarta, JB 22707",+62827-7731-7552,Single,11500000
CUS_074278,Muni Namaga,wanita,SD,47,"Jalan Cempaka No. 062
Kota Administrasi Jakarta Timur, MA 41879",+62826-6841-7793,Single,74000000
CUS_075431,Panji Hutasoit,pria,Sarjana,27,"Jl. Soekarno Hatta No. 268
Tual, Gorontalo 77724",+62836-8243-5910,Sudah menikah,47500000
CUS_075877,"Hesti Pratama, S.Kom",pria,Sarjana,58,"Gang Lembong No. 150
Manado, JI 91918",+62831-5696-1664,Sudah menikah,68000000
CUS_076019,Gatra Hardiansyah,wanita,SMP,21,"Gang Cempaka No. 71
Batam, SU 08755",+62818-1163-3058,Single,40000000
CUS_076022,Humaira Nasyiah,wanita,SMP,53,"Jalan Cikapayang No. 909
Gorontalo, SN 92576",+62846-4397-0102,Single,68500000
CUS_076551,Emong Prasasta,wanita,Sarjana,41,"Gang Jend. Sudirman No. 8
Kota Administrasi Jakarta Utara, Riau 58124",+62826-7189-2404,Sudah menikah,43000000
CUS_078083,Karman Utami,pria,SD,54,"Jl. Dipatiukur No. 369
Serang, KR 51151",+62834-8735-5429,Sudah menikah,96000000
CUS_078494,Zizi Hidayat,wanita,Sarjana,56,"Jalan Jend. A. Yani No. 901
Banda Aceh, SS 30489",+62889-6342-1107,Sudah menikah,86500000
CUS_080494,"Septi Habibi, S.Sos",pria,Sarjana,26,"Gg. Sukabumi No. 670
Manado, Kalimantan Selatan 87787",+62850-3591-1761,Sudah menikah,90500000
CUS_080683,Dr. Ulya Mansur,wanita,Doktor,32,"Jalan Sentot Alibasa No. 5
Kota Administrasi Jakarta Barat, Sulawesi Tengah 14012",+62871-0421-4458,Sudah menikah,80500000
CUS_080875,"KH. Garang Wahyuni, M.Kom.",pria,Magister,54,"Jl. HOS. Cokroaminoto No. 1
Pagaralam, MU 49731",+62859-6347-4768,Sudah menikah,98000000
CUS_082651,Wadi Uyainah,wanita,Sarjana,44,"Jl. Abdul Muis No. 619
Bengkulu, Sulawesi Tengah 52377",+62848-1416-8186,Sudah menikah,99000000
CUS_084195,drg. Salsabila Suryatmi,wanita,SMA/SMK/MA,23,"Jalan Sukajadi No. 7
Serang, Nusa Tenggara Barat 17204",+62888-1201-1040,Sudah menikah,69500000
CUS_084504,R.M. Dacin Sinaga,pria,SMP,48,"Gg. Sukajadi No. 99
Kota Administrasi Jakarta Selatan, GO 42609",+62825-7496-4750,Sudah menikah,96500000
CUS_085007,Caturangga Jailani,pria,SMA/SMK/MA,24,"Gang Cikapayang No. 2
Kendari, Kalimantan Utara 50828",+62842-8371-0616,Single,73500000
CUS_086911,Drs. Wahyu Yolanda,wanita,Doktor,34,"Gg. R.E Martadinata No. 8
Padang, SN 65671",+62857-7295-1076,Single,84500000
CUS_087493,Cornelia Najmudin,pria,SMA/SMK/MA,44,"Gang Cikapayang No. 811
Sukabumi, Papua Barat 88560",+62894-3405-3995,Single,29000000
CUS_087714,"Devi Ardianto, S.Sos",wanita,Sarjana,49,"Jl. Siliwangi No. 89
Tangerang, JA 68624",+62865-3295-3058,Single,37000000
CUS_090703,Cut Ani Mahendra,pria,SMA/SMK/MA,35,"Jl. Suryakencana No. 58
Kendari, SU 80641",+62870-1105-6934,Single,37000000
CUS_093218,Farhunnisa Firgantoro,pria,SMP,56,"Jalan Ciwastra No. 9
Sawahlunto, SG 99724",+62850-5772-1236,Single,31000000
CUS_093332,"Maria Aryani, S.Pd",wanita,Sarjana,49,"Gang Ahmad Yani No. 32
Mojokerto, MU 25234",+62816-3110-1672,Single,23500000
CUS_093416,Mulyono Mangunsong,pria,Sarjana,28,"Jl. M.T Haryono No. 1
Probolinggo, Sumatera Utara 57620",+62898-8510-3385,Sudah menikah,47000000
CUS_094668,H. Caket Suwarno,pria,Sarjana,25,"Gang Rungkut Industri No. 8
Palembang, MA 18309",+62855-8888-6108,Sudah menikah,63000000
CUS_095491,Rusman Nasyiah,pria,SMA/SMK/MA,20,"Jalan Raya Ujungberung No. 4
Batam, BA 28458",+62855-3601-3493,Sudah menikah,23500000
CUS_095716,dr. Kenes Dabukke,pria,Doktor,57,"Jalan Dipenogoro No. 86
Banda Aceh, SS 11849",+62830-2365-3735,Sudah menikah,12000000
CUS_099652,Imam Haryanti,wanita,SD,21,"Gg. Stasiun Wonokromo No. 7
Bontang, JI 09975",+62804-9350-7629,Sudah menikah,37500000
CUS_100668,Ira Yolanda,wanita,Sarjana,35,"Gg. Pasteur No. 851
Kupang, BA 90124",+62841-1063-6137,Single,52000000
CUS_101376,"Dr. Embuh Nurdiyanti, S.Ked",pria,Doktor,49,"Jalan Raya Ujungberung No. 59
Singkawang, Sumatera Barat 41698",+62800-6516-9625,Single,11000000
CUS_103100,Cut Hesti Pertiwi,pria,SMP,17,"Jalan Medokan Ayu No. 436
Pasuruan, YO 65491",+62852-2801-5518,Single,29500000
CUS_103604,Luhung Lestari,pria,SMP,37,"Gang Rajiman No. 4
Palangkaraya, Kalimantan Timur 64433",+62857-1589-2022,Sudah menikah,34500000
CUS_103607,Hadi Anggraini,wanita,SMP,15,"Gang Sukabumi No. 6
Lhokseumawe, Banten 38740",+62849-9788-9182,Single,7500000
CUS_103661,Arta Wibisono,wanita,SMP,28,"Jalan Cikutra Barat No. 864
Pekanbaru, Sumatera Utara 80168",+62830-2627-8862,Sudah menikah,84500000
CUS_104048,Lasmanto Salahudin,wanita,SD,57,"Gg. Sukajadi No. 06
Tangerang, KB 61759",+62879-8894-9700,Sudah menikah,50000000
CUS_105430,Prabawa Adriansyah,wanita,SMA/SMK/MA,18,"Gang Gardujati No. 2
Kediri, BT 79877",+62880-5293-8686,Sudah menikah,28500000
CUS_105874,Salsabila Siregar,wanita,SMP,32,"Gang Wonoayu No. 2
Pontianak, SN 78192",+62811-7943-7459,Single,68500000
CUS_106320,Tgk. Paramita Anggriawan,pria,SD,37,"Gg. Cihampelas No. 685
Kendari, MU 00970",+62885-1783-3204,Sudah menikah,69000000
CUS_109016,Zamira Pranowo,pria,SD,51,"Gg. Tebet Barat Dalam No. 4
Bekasi, PB 79596",+62809-5042-6100,Sudah menikah,67500000
CUS_109025,"Puput Andriani, S.Ked",pria,Sarjana,25,"Gg. Surapati No. 389
Probolinggo, Sulawesi Tenggara 14817",+62847-9470-5184,Sudah menikah,53000000
CUS_109917,Parman Wahyudin,pria,Sarjana,58,"Gang Jakarta No. 000
Malang, KR 13427",+62863-5502-3272,Sudah menikah,47000000
CUS_110048,"Wakiman Susanti, S.Kom",wanita,Sarjana,53,"Gg. Suniaraja No. 1
Banjar, Jawa Barat 93706",+62824-6888-5112,Sudah menikah,58500000
CUS_110712,"R.A. Maya Haryanto, S.I.Kom",pria,Sarjana,45,"Jalan Merdeka No. 946
Sibolga, MU 42278",+62883-8216-2301,Single,90500000
CUS_111670,Bakda Prabowo,wanita,SMA/SMK/MA,35,"Jl. Kapten Muslihat No. 782
Probolinggo, DKI Jakarta 57316",+62845-0937-9753,Sudah menikah,92000000
CUS_113850,"drg. Murti Sirait, M.Kom.",wanita,Magister,51,"Jalan Sadang Serang No. 43
Madiun, KS 89403",+62892-5430-4157,Sudah menikah,26000000
CUS_118939,Dinda Hardiansyah,pria,SMA/SMK/MA,59,"Jl. K.H. Wahid Hasyim No. 6
Palopo, Banten 69642",+62845-4067-6203,Sudah menikah,26000000
CUS_119749,Almira Santoso,pria,SD,43,"Gg. Merdeka No. 0
Kota Administrasi Jakarta Timur, SN 60155",+62871-6147-2480,Single,71000000
CUS_120272,Ana Jailani,pria,SMA/SMK/MA,60,"Gg. Peta No. 6
Ternate, Jambi 85526",+62897-6780-5557,Sudah menikah,25500000
CUS_120791,Kariman Siregar,pria,SMP,40,"Jalan Antapani Lama No. 770
Bukittinggi, Jawa Timur 87583",+62814-4596-2082,Single,14000000
CUS_122535,Amelia Mangunsong,pria,Sarjana,46,"Jalan Kiaracondong No. 809
Medan, KR 45651",+62828-7851-8348,Single,53000000
CUS_126859,"Tgk. Kiandra Ardianto, M.Pd",pria,Magister,54,"Jalan Rajawali Barat No. 3
Tasikmalaya, BB 24867",+62869-0146-3230,Single,31500000
CUS_126998,Jarwa Halim,pria,SD,46,"Jalan W.R. Supratman No. 828
Depok, MU 60569",+62881-4428-8525,Sudah menikah,78500000
CUS_127209,Fathonah Wibowo,pria,Sarjana,53,"Jalan Tubagus Ismail No. 506
Pagaralam, SR 04513",+62838-2147-7354,Sudah menikah,88500000
CUS_128195,Saiful Wasita,wanita,SD,60,"Jl. Siliwangi No. 72
Kota Administrasi Jakarta Barat, JB 90188",+62826-1719-8316,Single,22000000
CUS_128912,Almira Rahimah,pria,SMA/SMK/MA,31,"Gang Setiabudhi No. 948
Bitung, Kalimantan Timur 91843",+62898-9451-5310,Single,81000000
CUS_128994,Wirda Mahendra,wanita,SMA/SMK/MA,59,"Gang Peta No. 40
Bogor, SG 82762",+62826-1044-3353,Single,43500000
CUS_129022,"Zulaikha Puspita, S.I.Kom",pria,Sarjana,46,"Gg. HOS. Cokroaminoto No. 62
Sukabumi, Jawa Barat 89095",+62873-4858-7188,Single,81000000
CUS_131128,Mursita Sudiati,wanita,SD,51,"Jl. Gegerkalong Hilir No. 14
Palangkaraya, AC 33896",+62867-5686-7719,Single,98500000
CUS_131217,"Keisha Saragih, S.I.Kom",pria,Sarjana,57,"Gg. Moch. Toha No. 097
Lhokseumawe, BB 69796",+62847-9133-8781,Sudah menikah,34000000
CUS_132255,Lanang Nurdiyanti,pria,SMA/SMK/MA,60,"Jl. Monginsidi No. 219
Salatiga, Jambi 20727",+62885-7221-5198,Sudah menikah,42500000
CUS_132292,Hj. Siti Mandala,wanita,SD,48,"Jl. Sukajadi No. 20
Malang, BE 59893",+62859-5281-3456,Single,89500000
CUS_134169,Nurul Prayoga,wanita,Sarjana,36,"Gg. BKR No. 20
Madiun, JK 91792",+62825-2274-4409,Single,74500000
CUS_134516,Salman Handayani,wanita,Sarjana,45,"Gg. Tubagus Ismail No. 515
Bandar Lampung, Sulawesi Tengah 23911",+62864-7691-8938,Single,54000000
CUS_134806,Hj. Yulia Prasetyo,wanita,SD,33,"Gang Ir. H. Djuanda No. 933
Probolinggo, Banten 40218",+62811-4266-9068,Sudah menikah,22000000
CUS_137040,R. Zelaya Rahayu,pria,SMP,24,"Gang Cikapayang No. 044
Balikpapan, Bali 11273",+62812-4315-5606,Sudah menikah,47500000
CUS_140977,Kalim Aryani,wanita,SMA/SMK/MA,22,"Gang Moch. Toha No. 310
Jambi, Kalimantan Barat 01757",+62847-0161-4850,Sudah menikah,39500000
CUS_141776,Indah Nurdiyanti,pria,Sarjana,53,"Jl. Jend. A. Yani No. 71
Samarinda, KR 61393",+62882-5833-8084,Single,76500000
CUS_142925,Limar Uwais,wanita,SMP,15,"Jl. Cikutra Barat No. 846
Pariaman, LA 60715",+62886-2741-2873,Sudah menikah,41500000
CUS_145739,Maya Maryadi,pria,SMA/SMK/MA,47,"Jl. H.J Maemunah No. 64
Surakarta, LA 98336",+62870-8886-0479,Sudah menikah,13500000
CUS_147882,Jati Sihombing,pria,SMA/SMK/MA,22,"Jl. Kutisari Selatan No. 745
Magelang, Lampung 17154",+62838-2691-7101,Single,32000000
CUS_148103,"R. Yuni Megantara, S.E.I",wanita,Sarjana,44,"Jl. Gegerkalong Hilir No. 19
Tanjungpinang, Riau 90222",+62879-1095-7712,Sudah menikah,27000000
CUS_148174,Lili Pratiwi,wanita,SMP,18,"Gang Indragiri No. 2
Cimahi, KR 47635",+62833-2456-5771,Single,99500000
CUS_148288,"R.M. Nyoman Pradipta, M.Pd",wanita,Magister,48,"Gang Monginsidi No. 9
Tegal, Gorontalo 90321",+62837-7083-9709,Single,47500000
CUS_149416,Halima Yuniar,wanita,SMA/SMK/MA,46,"Jalan Sukajadi No. 22
Salatiga, RI 78553",+62867-6231-3972,Single,95500000
CUS_151995,Sutan Gada Usamah,wanita,SD,23,"Jl. Sentot Alibasa No. 504
Batu, Banten 80149",+62841-7352-3994,Single,25500000
CUS_152857,Najam Lailasari,wanita,SMP,41,"Gang Astana Anyar No. 173
Sukabumi, SN 14276",+62800-3643-2518,Single,29000000
CUS_158372,R.A. Ciaobella Hidayat,wanita,SD,51,"Gang Kutai No. 295
Probolinggo, ST 68516",+62814-6682-6578,Sudah menikah,18000000
CUS_158579,"R. Parman Rajata, S.I.Kom",wanita,Sarjana,52,"Jalan Veteran No. 87
Padang Sidempuan, SB 25778",+62823-2716-8771,Single,49500000
CUS_158633,"R.M. Prayitna Lazuardi, M.TI.",wanita,Magister,28,"Jalan Jend. A. Yani No. 91
Cilegon, BA 56839",+62883-5474-9177,Single,57500000
CUS_158763,Dt. Hendra Hutapea,wanita,SMA/SMK/MA,26,"Gg. Ahmad Yani No. 09
Lubuklinggau, KU 81384",+62863-2132-8155,Sudah menikah,74500000
CUS_159694,Baktiono Tampubolon,wanita,SMP,26,"Jalan Rawamangun No. 423
Payakumbuh, SS 55397",+62893-0228-3330,Single,38000000
CUS_159751,Puti Irma Budiyanto,wanita,SD,29,"Gg. Kiaracondong No. 94
Cilegon, Sulawesi Tengah 36296",+62813-2260-2226,Sudah menikah,55500000
